مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
"عقارات > سكني > للبيع > شقة
عقارات > سكني > للبيع > شقة فاخرة / ريزيدنس
عقارات > سكني > للبيع > شقة على البحر
عقارات > سكني > للبيع > جمعية سكنية",عنوان الإعلان,نص قصير,نعم,,,
,الوصف,نص طويل,نعم,,,
,السعر,رقم,نعم,,,
,العملة,قائمة منسدلة,نعم,العملة,دولار أمريكي، ليرة سورية، ليرة تركية,
,المساحة الإجمالية (م²),رقم,نعم,,,
,المساحة الصافية (م²),رقم,نعم,,,
,عدد الغرف,قائمة منسدلة,نعم,عدد الغرف,ستوديو، 1+1، 2+1، 3+1، 4+1، 5+1، 6+1، 7+1، 8+1، 9+1، 10 غرف فأكثر,
,الطابق,قائمة منسدلة,نعم,الطابق,قبو، أرضي، 1، 2، 3، 4، 5، 6، 7، 8، 9، 10، 11-15، 16-20، 21 فأكثر، طابق أخير / روف,
,عدد طوابق البناء,قائمة منسدلة,نعم,عدد طوابق البناء,1، 2، 3، 4، 5، 6، 7، 8، 9، 10، 11-15، 16-20، 21 فأكثر,
,عمر البناء,قائمة منسدلة,نعم,عمر البناء,جديد، 0-5 سنوات، 6-10 سنوات، 11-20 سنة، 21-30 سنة، أكثر من 30 سنة، غير معروف,
,التدفئة,قائمة منسدلة,نعم,التدفئة,لا يوجد، مدفأة مازوت، غاز، كهرباء، تدفئة مركزية، تدفئة أرضية، مكيف، طاقة شمسية، أخرى,
,عدد الحمامات,قائمة منسدلة,نعم,عدد الحمامات,1، 2، 3، 4، 5 فأكثر,
,المطبخ,قائمة منسدلة,نعم,المطبخ,مطبخ منفصل، مطبخ مفتوح، مطبخ أمريكي، مطبخ خارجي، غير موجود,
,بلكون,قائمة منسدلة,نعم,بلكون,نعم، لا,
,مصعد,قائمة منسدلة,نعم,مصعد,نعم، لا,
,موقف سيارة,قائمة منسدلة,نعم,موقف سيارة,لا يوجد، موقف شارع، موقف خاص، كراج، موقف مغطى,
,مفروش,قائمة منسدلة,نعم,مفروش,نعم، لا، مفروش جزئيًا,
,حالة العقار,قائمة منسدلة,نعم,حالة العقار,جديد، شبه جديد، جيد، يحتاج صيانة، قيد الإنشاء,
,نوع سند الملكية,قائمة منسدلة,نعم,نوع سند الملكية,سند ملكية/ طابو أخضر، وكالة كاتب عدل، حكم محكمة، عقد بيع، إفراز غير مكتمل,
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب عقاري، شركة إنشاءات، وكيل / مندوب,
,إمكانية الداكيش,قائمة منسدلة,نعم,إمكانية الداكيش,نعم، لا,
,الخدمات الشهرية,رقم,لا,,,
,الإطلالة,قائمة منسدلة,لا,الإطلالة,بدون إطلالة محددة، شارع، حديقة، مدينة، جبل، بحر، إطلالة مفتوحة,
