مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
عقارات > تملك زمني > للبيع,عنوان الإعلان,نص,نعم,,,
عقارات > تملك زمني > للبيع,الوصف,نص طويل,نعم,,,
عقارات > تملك زمني > للبيع,السعر,رقم,نعم,,,
عقارات > تملك زمني > للبيع,العملة,قائمة منسدلة,نعم,العملة,دولار أمريكي، ليرة سورية، ليرة تركية,
عقارات > تملك زمني > للبيع,نوع العقار,قائمة منسدلة,نعم,نوع العقار,شقة، ريزيدنس، فيلا، شاليه، غرفة فندقية، منتجع / قرية سياحية,
عقارات > تملك زمني > للبيع,اسم المشروع / المنتجع,نص,لا,,,
عقارات > تملك زمني > للبيع,فترة الاستخدام السنوية,قائمة منسدلة,نعم,فترة الاستخدام السنوية,أسبوع، أسبوعان، شهر، موسم كامل، تاريخ محدد، أخرى,
عقارات > تملك زمني > للبيع,مدة الاستخدام,قائمة منسدلة,نعم,مدة الاستخدام,7 أيام، 14 يوم، 30 يوم، 60 يوم، 90 يوم، أخرى,
عقارات > تملك زمني > للبيع,شهر / موسم الاستخدام,قائمة منسدلة,نعم,شهر / موسم الاستخدام,يناير، فبراير، مارس، أبريل، مايو، يونيو، يوليو، أغسطس، سبتمبر، أكتوبر، نوفمبر، ديسمبر، موسم الصيف، موسم الشتاء، الأعياد والعطل، مرن حسب الاتفاق,
عقارات > تملك زمني > للبيع,عدد الغرف,قائمة منسدلة,نعم,عدد الغرف,استوديو، 1+1، 2+1، 3+1، 4+1، 5+1، 6+، غير محدد,
عقارات > تملك زمني > للبيع,عدد الحمامات,قائمة منسدلة,نعم,عدد الحمامات,1، 2، 3، 4، 5+، غير محدد,
عقارات > تملك زمني > للبيع,مفروش,قائمة منسدلة,نعم,مفروش,نعم، لا، جزئيًا,
عقارات > تملك زمني > للبيع,المطبخ,قائمة منسدلة,لا,المطبخ,مطبخ مفتوح، مطبخ منفصل، مطبخ صغير، لا يوجد,
عقارات > تملك زمني > للبيع,الخدمات والمرافق,مجموعة اختيارات,لا,الخدمات والمرافق,مسبح، موقف سيارة، حديقة، إنترنت، تكييف / تدفئة، أمن، استقبال، مطعم / كافيه، شاطئ خاص,
عقارات > تملك زمني > للبيع,الخدمات السنوية / الرسوم السنوية,رقم,لا,,,
عقارات > تملك زمني > للبيع,قابلية نقل الملكية,قائمة منسدلة,نعم,قابلية نقل الملكية,قابلة للنقل، غير قابلة للنقل، حسب العقد,
عقارات > تملك زمني > للبيع,نوع العقد / الملكية,قائمة منسدلة,نعم,نوع العقد / الملكية,عقد تملك زمني، عقد انتفاع، سند ملكية، عقد شركة إدارة، غير معروف,
عقارات > تملك زمني > للبيع,حالة الاستخدام,قائمة منسدلة,نعم,حالة الاستخدام,جاهز للاستخدام، قيد التسليم، مستخدم سابقًا، يحتاج تجديد / صيانة,
عقارات > تملك زمني > للبيع,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب عقاري، وكيل، وسيط,
عقارات > تملك زمني > للبيع,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
عقارات > تملك زمني > للبيع,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
