مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
عقارات > منشآت سياحية > للإيجار,عنوان الإعلان,نص,نعم,,,
عقارات > منشآت سياحية > للإيجار,الوصف,نص طويل,نعم,,,
عقارات > منشآت سياحية > للإيجار,بدل الإيجار,رقم,نعم,,,
عقارات > منشآت سياحية > للإيجار,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
عقارات > منشآت سياحية > للإيجار,فترة الدفع,قائمة منسدلة,نعم,فترة الدفع,شهري، سنوي، موسمي,
عقارات > منشآت سياحية > للإيجار,المساحة الإجمالية,رقم,نعم,,,
عقارات > منشآت سياحية > للإيجار,مساحة الأرض,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,مساحة البناء,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,عدد الطوابق,قائمة منسدلة,لا,عدد الطوابق,1، 2، 3، 4، 5، 6، 7، 8، 9، 10+,
عقارات > منشآت سياحية > للإيجار,عدد الغرف / الوحدات,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,عدد الأسرّة,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,عدد الحمامات / WC,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,مفروش / مجهز,قائمة منسدلة,نعم,مفروش / مجهز,نعم، لا، مجهز جزئياً,
عقارات > منشآت سياحية > للإيجار,حالة التشغيل,قائمة منسدلة,نعم,حالة التشغيل,شغّال حالياً، جاهز للتشغيل، متوقف مؤقتاً، يحتاج تجهيز,
عقارات > منشآت سياحية > للإيجار,حالة العقار,قائمة منسدلة,نعم,حالة العقار,جديد، ممتاز، جيد، يحتاج صيانة، قيد التجهيز,
عقارات > منشآت سياحية > للإيجار,الترخيص السياحي,قائمة منسدلة,نعم,الترخيص السياحي,موجود، غير موجود، قيد الإصدار، غير محدد,
عقارات > منشآت سياحية > للإيجار,مدة الإيجار المتاحة,قائمة منسدلة,لا,مدة الإيجار المتاحة,شهري، موسمي، سنوي، طويل الأمد,
عقارات > منشآت سياحية > للإيجار,الخدمات الشهرية,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,التأمين / العربون,رقم,لا,,,
عقارات > منشآت سياحية > للإيجار,موقف سيارة,قائمة منسدلة,لا,موقف سيارة,لا يوجد، مواقف عامة، مواقف خاصة، كراج,
عقارات > منشآت سياحية > للإيجار,مسبح,قائمة منسدلة,لا,مسبح,نعم، لا,
عقارات > منشآت سياحية > للإيجار,مطعم / كافتيريا,قائمة منسدلة,لا,مطعم / كافتيريا,موجود، غير موجود، مجهز جزئياً,
عقارات > منشآت سياحية > للإيجار,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب عقاري، وكيل، مستثمر / مشغّل,
عقارات > منشآت سياحية > للإيجار,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
عقارات > منشآت سياحية > للإيجار,مرافق المنشأة,مجموعة اختيارات,لا,مرافق المنشأة,مسبح، مطعم، كافتيريا، مطبخ تجاري، قاعة استقبال، قاعة فعاليات، تراس، حديقة، شاطئ خاص، منطقة شواء، ملعب أطفال,
عقارات > منشآت سياحية > للإيجار,الخدمات والتجهيزات,مجموعة اختيارات,لا,الخدمات والتجهيزات,إنترنت، تكييف، تدفئة، مولدة كهرباء، خزان مياه، كاميرات مراقبة، نظام أمان، مصعد، موقف سيارات,
عقارات > منشآت سياحية > للإيجار,مناسب لـ,مجموعة اختيارات,لا,مناسب لـ,تشغيل فندق، شقق فندقية، مطعم / كافيه، مخيم سياحي، منتجع، فعاليات ومناسبات,
عقارات > منشآت سياحية > للإيجار,الإطلالة,مجموعة اختيارات,لا,الإطلالة,بحر، جبل، مدينة، حديقة، شارع، طبيعة,
