مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
الحيوانات الأليفة والمواشي > الحيوانات,عنوان الإعلان,نص قصير,نعم,,,
الحيوانات الأليفة والمواشي > الحيوانات,الوصف,نص طويل,نعم,,,
الحيوانات الأليفة والمواشي > الحيوانات,السعر,رقم,نعم,,,
الحيوانات الأليفة والمواشي > الحيوانات,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
الحيوانات الأليفة والمواشي > الحيوانات,العمر,قائمة منسدلة,لا,العمر,أقل من شهر، 1 - 3 أشهر، 3 - 6 أشهر، 6 - 12 شهر، 1 - 3 سنوات، أكثر من 3 سنوات، غير معروف,
الحيوانات الأليفة والمواشي > الحيوانات,الجنس,قائمة منسدلة,لا,الجنس,ذكر، أنثى، غير معروف,
الحيوانات الأليفة والمواشي > الحيوانات,الحالة الصحية,قائمة منسدلة,لا,الحالة الصحية,ممتازة، جيدة، تحتاج رعاية، غير معروف,
الحيوانات الأليفة والمواشي > الحيوانات,مطعّم,قائمة منسدلة,لا,مطعّم,نعم، لا، غير معروف,
الحيوانات الأليفة والمواشي > الحيوانات,أليف / معتاد على التعامل,قائمة منسدلة,لا,أليف / معتاد على التعامل,نعم، لا، جزئيًا، غير معروف,
الحيوانات الأليفة والمواشي > الحيوانات,طريقة التسليم,قائمة منسدلة,لا,طريقة التسليم,استلام من البائع، توصيل داخل المدينة,
الحيوانات الأليفة والمواشي > الحيوانات,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مربي، محل / متجر، وسيط,
الحيوانات الأليفة والمواشي > الحيوانات,قابل للتفاوض,قائمة منسدلة,لا,قابل للتفاوض,نعم، لا,
