مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > أنتيكات
سلع مستعملة وجديدة > مقتنيات
سلع مستعملة وجديدة > مجوهرات وأحجار كريمة
سلع مستعملة وجديدة > ساعات ومنبهات",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل، يحتاج صيانة
,الأصالة,قائمة منسدلة,لا,الأصالة,أصلي، نسخة / تقليد، غير معروف
,مادة الصنع,نص قصير,لا,,
,شهادة / فاتورة,قائمة منسدلة,لا,شهادة / فاتورة,نعم، لا
,العمر التقريبي,نص قصير,لا,,
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
