مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > كتب ومجلات وأفلام
سلع مستعملة وجديدة > هوايات وألعاب
سلع مستعملة وجديدة > موسيقى
سلع مستعملة وجديدة > رياضة
سلع مستعملة وجديدة > مستلزمات المكتب والقرطاسية
سلع مستعملة وجديدة > الأم والطفل                                       سلع مستعملة وجديدة > أخرى",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، شبه جديد، مستعمل بحالة جيدة، يحتاج صيانة
,الكمية,رقم,لا,,
,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
