مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > ملابس وإكسسوارات
سلع مستعملة وجديدة > ملابس وإكسسوارات > رجالي
سلع مستعملة وجديدة > ملابس وإكسسوارات > نسائي
سلع مستعملة وجديدة > ملابس وإكسسوارات > ملابس أطفال
سلع مستعملة وجديدة > ملابس وإكسسوارات > أحذية
سلع مستعملة وجديدة > ملابس وإكسسوارات > حقائب وأمتعة
سلع مستعملة وجديدة > ملابس وإكسسوارات > أزياء تنكرية",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل بحالة جيدة
,المقاس,قائمة منسدلة,نعم,القياس,لا ينطبق، مقاس حر، XS، S، M، L، XL، XXL، 3XL، 4XL، 5XL، 0-3 أشهر، 3-6 أشهر، 6-9 أشهر، 9-12 شهر، 1 سنة، 2 سنة، 3 سنوات، 4 سنوات، 5 سنوات، 6 سنوات، 7 سنوات، 8 سنوات، 9 سنوات، 10 سنوات، 11 سنة، 12 سنة، 13 سنة، 14 سنة، 15 سنة، 16 سنة، 17 سنة، 18 سنة، 16، 17، 18، 19، 20، 21، 22، 23، 24، 25، 26، 27، 28، 29، 30، 31، 32، 33، 34، 35، 36، 37، 38، 39، 40، 41، 42، 43، 44، 45، 46، 47، 48، 49، 50
,اللون,نص قصير,لا,,
,الفئة,قائمة منسدلة,لا,الفئة,رجالي، نسائي، أطفال، للجنسين
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
