مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"سلع مستعملة وجديدة > ديكور المنزل
سلع مستعملة وجديدة > مستلزمات الحدائق والبناء
سلع مستعملة وجديدة > هدايا وألعاب منزلية",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,السعر,رقم,نعم,,
,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل، يحتاج صيانة
,الأبعاد التقريبية,نص قصير,لا,,
,مادة الصنع,نص قصير,لا,,
,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، متجر، شركة، وكيل / مندوب
