مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
"خدمات المساعدة المنزلية > رعاية الأطفال
خدمات المساعدة المنزلية > رعاية كبار السن والمرضى
خدمات المساعدة المنزلية > تنظيف ومساعدة منزلية",عنوان الإعلان,نص قصير,نعم,,
,الوصف,نص طويل,نعم,,
,نوع الإعلان,قائمة منسدلة,نعم,نوع الإعلان,أبحث عن مساعدة، أقدم خدمة
,طبيعة العمل,قائمة منسدلة,نعم,طبيعة العمل,دوام كامل، دوام جزئي، مؤقت، مبيت دائم، مبيت جزئي
,نظام العمل,قائمة منسدلة,نعم,نظام العمل,في المنزل، مرافقة خارج المنزل، داخل وخارج المنزل
,الأجر / الراتب المتوقع,نص قصير,لا,,
,العملة,قائمة منسدلة,لا,العملة,دولار، ليرة سورية، ليرة تركية
,فترة الدفع,قائمة منسدلة,لا,فترة الدفع,شهري، أسبوعي، يومي، بالساعة، حسب الاتفاق
,عدد ساعات العمل,نص قصير,لا,,
,أيام العمل,نص قصير,لا,,
,الإقامة,قائمة منسدلة,لا,الإقامة,بدون مبيت، مع مبيت، حسب الاتفاق
,الخبرة,قائمة منسدلة,لا,الخبرة,غير مطلوبة، أقل من سنة، سنة - 3 سنوات، أكثر من 3 سنوات
,المهام / الخدمات,مجموعة اختيارات,لا,المهام / الخدمات,رعاية أطفال، رعاية كبار سن، رعاية مريض، تنظيف، طبخ، غسيل وكي، مرافقة، شراء مستلزمات، حسب الاتفاق
,مزايا إضافية,مجموعة اختيارات,لا,مزايا إضافية,سكن، طعام، مواصلات، مكافآت، لا يوجد
,صفة طالب الخدمة,قائمة منسدلة,نعم,صفة طالب الخدمة,عائلة، فرد، مقدم/مقدمة خدمة، مكتب خدمات، شركة
,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
