مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,عنوان الإعلان,نص قصير,نعم,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,الوصف,نص طويل,نعم,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,السعر,رقم,نعم,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,اسم القطعة / الملحق,نص قصير,نعم,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,نوع المنتج,قائمة منسدلة,نعم,نوع المنتج,قطعة غيار، ملحق، عدة / أداة، مستهلكات تشغيل، غير ذلك
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل بحالة جيدة، يحتاج صيانة
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,نوع القطعة,قائمة منسدلة,لا,نوع القطعة,أصلية، تجارية، مجددة، مستعملة أصلية، غير محدد
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,متوافق مع,نص قصير,لا,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,رقم القطعة,نص قصير,لا,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,الشركة المصنعة / الماركة,نص قصير,لا,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,مصدر المنتج,قائمة منسدلة,لا,مصدر المنتج,محلي، وارد كوريا، وارد أوروبا، وارد أمريكا، وارد الصين، غير محدد
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,الكمية المتوفرة,رقم,لا,,
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,ضمان,قائمة منسدلة,لا,ضمان,يوجد ضمان، لا يوجد ضمان
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,قابل للشحن,قائمة منسدلة,لا,قابل للشحن,نعم، لا، حسب الاتفاق
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
الآلات والمعدات > الآلات الزراعية > الملحقات وقطع الغيار,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك / بائع مباشر، شركة، تاجر قطع، ورشة / مركز صيانة
