مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
الآلات والمعدات > الآلات الزراعية,عنوان الإعلان,نص قصير,نعم,,
الآلات والمعدات > الآلات الزراعية,وصف الإعلان,نص طويل,نعم,,
الآلات والمعدات > الآلات الزراعية,السعر,رقم,نعم,,
الآلات والمعدات > الآلات الزراعية,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
الآلات والمعدات > الآلات الزراعية,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، 1999، 1998، 1997، 1996، 1995، 1994، 1993، 1992، 1991، 1990، قبل 1990
الآلات والمعدات > الآلات الزراعية,حالة المعدة,قائمة منسدلة,نعم,حالة المعدة,جديدة، مستعملة بحالة جيدة، تحتاج صيانة، لا تعمل / للتصليح
الآلات والمعدات > الآلات الزراعية,نوع التشغيل,قائمة منسدلة,لا,نوع التشغيل,ديزل، بنزين، كهرباء، هايبرد، غير محدد
الآلات والمعدات > الآلات الزراعية,نوع الحركة,قائمة منسدلة,لا,نوع الحركة,جنزير، دواليب، ثابتة، مقطورة، غير محدد
الآلات والمعدات > الآلات الزراعية,مصدر المعدة,قائمة منسدلة,لا,مصدر المعدة,محلية، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، واردة من كوريا، أخرى، غير محدد
الآلات والمعدات > الآلات الزراعية,حالة التسجيل / الأوراق,قائمة منسدلة,لا,حالة التسجيل / الأوراق,مرخصة، أوراق جمركية، بدون أوراق، غير محدد
الآلات والمعدات > الآلات الزراعية,نوع الاستخدام السابق,قائمة منسدلة,لا,نوع الاستخدام السابق,شركة، مشروع، تأجير، استخدام شخصي، غير معروف
الآلات والمعدات > الآلات الزراعية,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا
الآلات والمعدات > الآلات الزراعية,المرفقات / الملحقات,قائمة متعددة,لا,المرفقات / الملحقات,دلو، شاكوش هيدروليك، شوك تحميل، شفرة، رأس حفر، جنزير إضافي، إطارات إضافية، لا يوجد، أخرى
الآلات والمعدات > الآلات الزراعية,ميزات المعدة,قائمة متعددة,لا,ميزات المعدة,مكيف كابينة، كابينة مغلقة، نظام GPS، كاميرا خلفية، إنارة عمل، نظام هيدروليك إضافي، لا يوجد، أخرى
الآلات والمعدات > الآلات الزراعية,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، تاجر معدات، شركة، وسيط
الآلات والمعدات > الآلات الزراعية,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
الآلات والمعدات > الآلات الزراعية,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا
