مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
الآلات والمعدات > معدات الإنشاءات > للإيجار,عنوان الإعلان,نص قصير,نعم,,
الآلات والمعدات > معدات الإنشاءات > للإيجار,وصف الإعلان,نص طويل,نعم,,
الآلات والمعدات > معدات الإنشاءات > للإيجار,بدل الإيجار,رقم,نعم,,
الآلات والمعدات > معدات الإنشاءات > للإيجار,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
الآلات والمعدات > معدات الإنشاءات > للإيجار,فترة الإيجار,قائمة منسدلة,نعم,فترة الإيجار,يومي، أسبوعي، شهري، حسب الاتفاق
الآلات والمعدات > معدات الإنشاءات > للإيجار,أقل مدة إيجار,قائمة منسدلة,لا,أقل مدة إيجار,يوم واحد، أسبوع، شهر، حسب الاتفاق، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,سنة الصنع,قائمة منسدلة,لا,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، 1999، 1998، 1997، 1996، 1995، 1994، 1993، 1992، 1991، 1990، قبل 1990
الآلات والمعدات > معدات الإنشاءات > للإيجار,حالة المعدة,قائمة منسدلة,نعم,حالة المعدة,جديدة، مستعملة بحالة جيدة، تحتاج صيانة، لا تعمل / للتصليح
الآلات والمعدات > معدات الإنشاءات > للإيجار,نوع التشغيل,قائمة منسدلة,لا,نوع التشغيل,ديزل، بنزين، كهرباء، هايبرد، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,نوع الحركة,قائمة منسدلة,لا,نوع الحركة,جنزير، دواليب، ثابتة، مقطورة، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,مصدر المعدة,قائمة منسدلة,لا,مصدر المعدة,محلية، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، واردة من كوريا، أخرى، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,حالة التسجيل / الأوراق,قائمة منسدلة,لا,حالة التسجيل / الأوراق,مرخصة، أوراق جمركية، بدون أوراق، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,مع مشغّل,قائمة منسدلة,نعم,مع مشغّل,نعم، لا، حسب الاتفاق
الآلات والمعدات > معدات الإنشاءات > للإيجار,رسوم النقل,قائمة منسدلة,لا,رسوم النقل,على المؤجر، على المستأجر، حسب الاتفاق، غير محدد
الآلات والمعدات > معدات الإنشاءات > للإيجار,التأمين / العربون,قائمة منسدلة,لا,التأمين / العربون,يوجد، لا يوجد، حسب الاتفاق
الآلات والمعدات > معدات الإنشاءات > للإيجار,قابل للتجربة,قائمة منسدلة,لا,قابل للتجربة,نعم، لا
الآلات والمعدات > معدات الإنشاءات > للإيجار,المرفقات / الملحقات,قائمة متعددة,لا,المرفقات / الملحقات,دلو، شاكوش هيدروليك، شوك تحميل، شفرة، رأس حفر، جنزير إضافي، إطارات إضافية، لا يوجد، أخرى
الآلات والمعدات > معدات الإنشاءات > للإيجار,ميزات المعدة,قائمة متعددة,لا,ميزات المعدة,مكيف كابينة، كابينة مغلقة، نظام GPS، كاميرا خلفية، إنارة عمل، نظام هيدروليك إضافي، لا يوجد، أخرى
الآلات والمعدات > معدات الإنشاءات > للإيجار,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، تاجر معدات، شركة، وسيط
الآلات والمعدات > معدات الإنشاءات > للإيجار,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
