مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
الآلات والمعدات > قطع الغيار والملحقات,عنوان الإعلان,نص قصير,نعم,,
الآلات والمعدات > قطع الغيار والملحقات,الوصف,نص طويل,نعم,,
الآلات والمعدات > قطع الغيار والملحقات,السعر,رقم,نعم,,
الآلات والمعدات > قطع الغيار والملحقات,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
الآلات والمعدات > قطع الغيار والملحقات,اسم القطعة / الملحق,نص قصير,نعم,,
الآلات والمعدات > قطع الغيار والملحقات,نوع المنتج,قائمة منسدلة,نعم,نوع المنتج,قطعة غيار، ملحق، عدة / أداة، مستهلكات تشغيل، غير ذلك
الآلات والمعدات > قطع الغيار والملحقات,حالة المنتج,قائمة منسدلة,نعم,حالة المنتج,جديد، مستعمل بحالة جيدة، يحتاج صيانة
الآلات والمعدات > قطع الغيار والملحقات,نوع القطعة,قائمة منسدلة,لا,نوع القطعة,أصلية، تجارية، مجددة، مستعملة أصلية، غير محدد
الآلات والمعدات > قطع الغيار والملحقات,متوافق مع,نص قصير,لا,,
الآلات والمعدات > قطع الغيار والملحقات,رقم القطعة,نص قصير,لا,,
الآلات والمعدات > قطع الغيار والملحقات,الشركة المصنعة / الماركة,نص قصير,لا,,
الآلات والمعدات > قطع الغيار والملحقات,مصدر المنتج,قائمة منسدلة,لا,مصدر المنتج,محلي، وارد كوريا، وارد أوروبا، وارد أمريكا، وارد الصين، غير محدد
الآلات والمعدات > قطع الغيار والملحقات,الكمية المتوفرة,رقم,لا,,
الآلات والمعدات > قطع الغيار والملحقات,ضمان,قائمة منسدلة,لا,ضمان,يوجد ضمان، لا يوجد ضمان
الآلات والمعدات > قطع الغيار والملحقات,قابل للشحن,قائمة منسدلة,لا,قابل للشحن,نعم، لا، حسب الاتفاق
الآلات والمعدات > قطع الغيار والملحقات,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
الآلات والمعدات > قطع الغيار والملحقات,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك / بائع مباشر، شركة، تاجر قطع، ورشة / مركز صيانة
