مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
الآلات والمعدات > الكهرباء والطاقة,عنوان الإعلان,نص قصير,نعم,,
الآلات والمعدات > الكهرباء والطاقة,الوصف,نص طويل,نعم,,
الآلات والمعدات > الكهرباء والطاقة,السعر,نص قصير,نعم,,
الآلات والمعدات > الكهرباء والطاقة,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية
الآلات والمعدات > الكهرباء والطاقة,حالة المنتج / المعدة,قائمة منسدلة,نعم,حالة المنتج / المعدة,جديد، مستعمل بحالة جيدة، يحتاج صيانة
الآلات والمعدات > الكهرباء والطاقة,الاستطاعة / القدرة,نص قصير,لا,,
الآلات والمعدات > الكهرباء والطاقة,الجهد الكهربائي,قائمة منسدلة,لا,الجهد الكهربائي,12V، 24V، 110V، 220V، 380V، غير محدد
الآلات والمعدات > الكهرباء والطاقة,الطور الكهربائي,قائمة منسدلة,لا,الطور الكهربائي,أحادي الطور، ثلاثي الطور، لا ينطبق، غير محدد
الآلات والمعدات > الكهرباء والطاقة,مصدر المنتج / المعدة,قائمة منسدلة,لا,مصدر المنتج / المعدة,محلي، وارد كوريا، وارد من الخليج، وارد من أوروبا، وارد من أمريكا، غير محدد
الآلات والمعدات > الكهرباء والطاقة,المواصفات الفنية,نص طويل,لا,,
الآلات والمعدات > الكهرباء والطاقة,الكفالة,قائمة منسدلة,لا,الكفالة,يوجد، لا يوجد، حسب الاتفاق
الآلات والمعدات > الكهرباء والطاقة,ميزات إضافية,قائمة متعددة,لا,ميزات إضافية,جاهز للتركيب، مع كفالة، صيانة متوفرة، قطع غيار متوفرة، مناسب للاستخدام المنزلي، مناسب للاستخدام التجاري / الصناعي، موفر للطاقة
الآلات والمعدات > الكهرباء والطاقة,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك مباشر، تاجر / محل، شركة، وسيط
الآلات والمعدات > الكهرباء والطاقة,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
