مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
الآلات والمعدات > الصناعة,عنوان الإعلان,نص قصير,نعم,,,
الآلات والمعدات > الصناعة,وصف الإعلان,نص طويل,نعم,,,
الآلات والمعدات > الصناعة,السعر,رقم,نعم,,,
الآلات والمعدات > الصناعة,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
الآلات والمعدات > الصناعة,سنة الصنع,قائمة منسدلة,لا,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، 1999، 1998، 1997، 1996، 1995، 1994، 1993، 1992، 1991، 1990، قبل 1990,
الآلات والمعدات > الصناعة,حالة المعدة / التجهيز,قائمة منسدلة,نعم,حالة المعدة / التجهيز,جديدة، مستعملة بحالة جيدة، تحتاج صيانة، لا تعمل / للتصليح,
الآلات والمعدات > الصناعة,نوع التشغيل / مصدر الطاقة,قائمة منسدلة,لا,نوع التشغيل / مصدر الطاقة,كهرباء، ديزل، بنزين، غاز، هواء مضغوط، يدوي، غير محدد,
الآلات والمعدات > الصناعة,مصدر المعدة / التجهيز,قائمة منسدلة,لا,مصدر المعدة / التجهيز,محلية، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، واردة من كوريا، أخرى، غير محدد,
الآلات والمعدات > الصناعة,المرفقات / الملحقات,قائمة متعددة,لا,المرفقات / الملحقات,ملحقات أصلية، قطع إضافية، كتالوج، فاتورة، لا يوجد، أخرى,
الآلات والمعدات > الصناعة,ميزات المعدة / التجهيز,قائمة متعددة,لا,ميزات المعدة / التجهيز,جاهزة للعمل، صيانة دورية، قطع غيار متوفرة، سهلة النقل، تشغيل اقتصادي، لا يوجد، أخرى,
الآلات والمعدات > الصناعة,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، تاجر معدات، شركة، وسيط,
الآلات والمعدات > الصناعة,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
