قالب إدخال الإعلانات - 01 السيارات العام - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,عنوان الإعلان,نص قصير,نعم,,,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,الوصف,نص طويل,نعم,,,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,السعر,رقم,نعم,,,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، 1999، 1998، 1997، 1996، 1995، 1994، 1993، 1992، 1991، 1990، 1989، 1988، 1987، 1986، 1985، 1984، 1983، 1982، 1981، 1980، 1979، 1978، 1977، 1976، 1975، 1974، 1973، 1972، 1971، 1970، 1969، 1968، 1967، 1966، 1965، 1964، 1963، 1962، 1961، 1960، قبل 1960,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,الكيلومترات,رقم,نعم,,,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,حالة السيارة,قائمة منسدلة,نعم,حالة السيارة,جديدة، مستعملة,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,حالة التسجيل,قائمة منسدلة,نعم,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,حالة الترخيص / الفحص,قائمة منسدلة,لا,حالة الترخيص / الفحص,ساري، منتهي، غير متوفر,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,مصدر السيارة,قائمة منسدلة,لا,مصدر السيارة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,نوع الوقود,قائمة منسدلة,نعم,نوع الوقود,بنزين، ديزل، كهرباء، هايبرد، غاز، بنزين وغاز,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,ناقل الحركة,قائمة منسدلة,نعم,ناقل الحركة,أوتوماتيك، عادي، نصف أوتوماتيك,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,سعة المحرك,قائمة منسدلة,لا,سعة المحرك,أقل من 1.0، 1.0 - 1.3، 1.4 - 1.6، 1.7 - 2.0، 2.1 - 3.0، أكثر من 3.0، كهربائي,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,عدد السلندرات,قائمة منسدلة,لا,عدد السلندرات,3، 4، 5، 6، 8، 10، 12، كهربائي، غير محدد,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,قوة المحرك,قائمة منسدلة,لا,قوة المحرك,أقل من 100 حصان، 100 - 150 حصان، 151 - 200 حصان، 201 - 300 حصان، أكثر من 300 حصان، غير محدد,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,نوع الدفع,قائمة منسدلة,نعم,نوع الدفع,دفع أمامي، دفع خلفي، دفع رباعي، غير محدد,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,لون السيارة,قائمة منسدلة,نعم,لون السيارة,أبيض، أسود، فضي، رمادي، أحمر، أزرق، كحلي، بيج، بني، أخضر، أصفر، برتقالي، لون آخر,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,عدد الأبواب,قائمة منسدلة,لا,عدد الأبواب,2، 3، 4، 5,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,2، 4، 5، 6، 7، 8، أكثر من 8,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > سيارات / سيارات الدفع الرباعي والبيك آب / سيارات كلاسيكية / سيارات لوحة معاقين,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
