قالب إدخال الإعلانات - 02 السيارات الكهربائية - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > سيارات كهربائية,عنوان الإعلان,نص قصير,نعم,,,
المركبات > سيارات كهربائية,الوصف,نص طويل,نعم,,,
المركبات > سيارات كهربائية,السعر,رقم,نعم,,,
المركبات > سيارات كهربائية,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > سيارات كهربائية,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > سيارات كهربائية,الكيلومترات,رقم,نعم,,,
المركبات > سيارات كهربائية,حالة السيارة,قائمة منسدلة,نعم,حالة السيارة,جديدة، مستعملة,
المركبات > سيارات كهربائية,حالة التسجيل,قائمة منسدلة,نعم,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > سيارات كهربائية,حالة الترخيص / الفحص,قائمة منسدلة,لا,حالة الترخيص / الفحص,ساري، منتهي، غير متوفر,
المركبات > سيارات كهربائية,مصدر السيارة,قائمة منسدلة,لا,مصدر السيارة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > سيارات كهربائية,نوع الطاقة,قائمة منسدلة,نعم,نوع الطاقة,كهرباء، هايبرد قابل للشحن,
المركبات > سيارات كهربائية,مدى السيارة بالشحنة الواحدة,قائمة منسدلة,لا,مدى القيادة,أقل من 150 كم، 150 - 250 كم، 251 - 400 كم، أكثر من 400 كم، غير محدد,
المركبات > سيارات كهربائية,حالة البطارية,قائمة منسدلة,لا,حالة البطارية,ممتازة، جيدة، تحتاج فحص، غير محدد، جديدة,
المركبات > سيارات كهربائية,نوع الشحن,قائمة منسدلة,لا,نوع الشحن,شحن عادي، شحن سريع، شحن عادي وسريع، غير محدد,
المركبات > سيارات كهربائية,نوع الدفع,قائمة منسدلة,نعم,نوع الدفع,دفع أمامي، دفع خلفي، دفع رباعي، غير محدد,
المركبات > سيارات كهربائية,لون السيارة,قائمة منسدلة,نعم,لون السيارة,أبيض، أسود، فضي، رمادي، أحمر، أزرق، كحلي، بيج، بني، أخضر، أصفر، برتقالي، لون آخر,
المركبات > سيارات كهربائية,عدد الأبواب,قائمة منسدلة,لا,عدد الأبواب,2، 3، 4، 5,
المركبات > سيارات كهربائية,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,2، 4، 5، 6، 7، 8، أكثر من 8,
المركبات > سيارات كهربائية,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > سيارات كهربائية,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > سيارات كهربائية,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
المركبات > سيارات كهربائية,ميزات الراحة,مجموعة اختيارات,لا,ميزات الراحة,مكيف، شاشة، كاميرا خلفية، حساسات، مثبت سرعة، دخول بدون مفتاح، تشغيل بصمة، فتحة سقف، مقاعد جلد، مقاعد كهربائية,
المركبات > سيارات كهربائية,ميزات الأمان,مجموعة اختيارات,لا,ميزات الأمان,ABS، Airbag، ESP، مانع انزلاق، مراقبة النقطة العمياء، نظام مانع سرقة,
المركبات > سيارات كهربائية,ميزات خارجية,مجموعة اختيارات,لا,ميزات خارجية,جنوط ألمنيوم، أضواء LED، حساسات أمامية، حساسات خلفية، سقف بانوراما، زجاج مظلل,
المركبات > سيارات كهربائية,ميزات كهربائية,مجموعة اختيارات,لا,ميزات كهربائية,شاحن منزلي، منفذ شحن سريع، نظام استرجاع طاقة، تطبيق تحكم، نظام توفير الطاقة,
