قالب إدخال الإعلانات - 03 دراجات ATV UTV - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > دراجات نارية / ATV / UTV,عنوان الإعلان,نص قصير,نعم,,,
المركبات > دراجات نارية / ATV / UTV,الوصف,نص طويل,نعم,,,
المركبات > دراجات نارية / ATV / UTV,السعر,رقم,نعم,,,
المركبات > دراجات نارية / ATV / UTV,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > دراجات نارية / ATV / UTV,نوع المركبة,قائمة منسدلة,نعم,نوع المركبة,دراجة نارية، ATV، UTV، سكوتر، دراجة كهربائية,
المركبات > دراجات نارية / ATV / UTV,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > دراجات نارية / ATV / UTV,الكيلومترات,رقم,نعم,,,
المركبات > دراجات نارية / ATV / UTV,حالة الدراجة,قائمة منسدلة,نعم,حالة الدراجة,جديدة، مستعملة,
المركبات > دراجات نارية / ATV / UTV,حالة التسجيل,قائمة منسدلة,نعم,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > دراجات نارية / ATV / UTV,حالة الترخيص / الفحص,قائمة منسدلة,لا,حالة الترخيص / الفحص,ساري، منتهي، غير متوفر,
المركبات > دراجات نارية / ATV / UTV,مصدر الدراجة,قائمة منسدلة,لا,مصدر الدراجة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > دراجات نارية / ATV / UTV,نوع الوقود,قائمة منسدلة,نعم,نوع الوقود,بنزين، كهرباء,
المركبات > دراجات نارية / ATV / UTV,ناقل الحركة,قائمة منسدلة,نعم,ناقل الحركة,عادي، أوتوماتيك، نصف أوتوماتيك,
المركبات > دراجات نارية / ATV / UTV,سعة المحرك,قائمة منسدلة,لا,سعة المحرك,أقل من 100 cc، 100 - 250 cc، 251 - 500 cc، 501 - 750 cc، أكثر من 750 cc، كهربائي,
المركبات > دراجات نارية / ATV / UTV,لون الدراجة,قائمة منسدلة,نعم,لون الدراجة,أبيض، أسود، فضي، رمادي، أحمر، أزرق، كحلي، بيج، بني، أخضر، أصفر، برتقالي، لون آخر,
المركبات > دراجات نارية / ATV / UTV,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > دراجات نارية / ATV / UTV,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > دراجات نارية / ATV / UTV,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
المركبات > دراجات نارية / ATV / UTV,ميزات الدراجة,مجموعة اختيارات,لا,ميزات الدراجة,ABS، حقيبة خلفية، حماية جانبية، شاشة رقمية، إضاءة LED، تشغيل كهربائي، نظام مانع سرقة,
