قالب إدخال الإعلانات - 04 فانات وتجاري - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > ميني فان وبانل فان / مركبات تجارية,عنوان الإعلان,نص قصير,نعم,,,
المركبات > ميني فان وبانل فان / مركبات تجارية,الوصف,نص طويل,نعم,,,
المركبات > ميني فان وبانل فان / مركبات تجارية,السعر,رقم,نعم,,,
المركبات > ميني فان وبانل فان / مركبات تجارية,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > ميني فان وبانل فان / مركبات تجارية,نوع المركبة,قائمة منسدلة,نعم,نوع المركبة,ميني فان، بانل فان، شاحنة صغيرة، شاحنة، باص، ميكروباص، قلاب، سطحة، ونش، تبريد,
المركبات > ميني فان وبانل فان / مركبات تجارية,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > ميني فان وبانل فان / مركبات تجارية,الكيلومترات,رقم,نعم,,,
المركبات > ميني فان وبانل فان / مركبات تجارية,حالة المركبة,قائمة منسدلة,نعم,حالة المركبة,جديدة، مستعملة,
المركبات > ميني فان وبانل فان / مركبات تجارية,حالة التسجيل,قائمة منسدلة,نعم,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > ميني فان وبانل فان / مركبات تجارية,حالة الترخيص / الفحص,قائمة منسدلة,لا,حالة الترخيص / الفحص,ساري، منتهي، غير متوفر,
المركبات > ميني فان وبانل فان / مركبات تجارية,مصدر المركبة,قائمة منسدلة,لا,مصدر المركبة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > ميني فان وبانل فان / مركبات تجارية,نوع الوقود,قائمة منسدلة,نعم,نوع الوقود,بنزين، ديزل، كهرباء، هايبرد، غاز، بنزين وغاز,
المركبات > ميني فان وبانل فان / مركبات تجارية,ناقل الحركة,قائمة منسدلة,نعم,ناقل الحركة,أوتوماتيك، عادي، نصف أوتوماتيك,
المركبات > ميني فان وبانل فان / مركبات تجارية,سعة المحرك,قائمة منسدلة,لا,سعة المحرك,أقل من 1.0، 1.0 - 1.3، 1.4 - 1.6، 1.7 - 2.0، 2.1 - 3.0، أكثر من 3.0، كهربائي,
المركبات > ميني فان وبانل فان / مركبات تجارية,عدد السلندرات,قائمة منسدلة,لا,عدد السلندرات,3، 4، 5، 6، 8، 10، 12، كهربائي، غير محدد,
المركبات > ميني فان وبانل فان / مركبات تجارية,نوع الدفع,قائمة منسدلة,نعم,نوع الدفع,دفع أمامي، دفع خلفي، دفع رباعي، غير محدد,
المركبات > ميني فان وبانل فان / مركبات تجارية,لون المركبة,قائمة منسدلة,نعم,لون المركبة,أبيض، أسود، فضي، رمادي، أحمر، أزرق، كحلي، بيج، بني، أخضر، أصفر، برتقالي، لون آخر,
المركبات > ميني فان وبانل فان / مركبات تجارية,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,2، 3، 5، 7، 9، 12، 15، 18، أكثر من 18,
المركبات > ميني فان وبانل فان / مركبات تجارية,الحمولة,قائمة منسدلة,لا,الحمولة,أقل من 1 طن، 1 - 3 طن، 3 - 5 طن، 5 - 10 طن، أكثر من 10 طن، غير محدد,
المركبات > ميني فان وبانل فان / مركبات تجارية,نوع الهيكل,قائمة منسدلة,لا,نوع الهيكل,مغلق، مفتوح، صندوق، تبريد، قلاب، سطحة، صهريج، غير محدد,
المركبات > ميني فان وبانل فان / مركبات تجارية,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > ميني فان وبانل فان / مركبات تجارية,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > ميني فان وبانل فان / مركبات تجارية,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
المركبات > ميني فان وبانل فان / مركبات تجارية,ميزات تجارية,مجموعة اختيارات,لا,ميزات تجارية,تبريد، رافعة، صندوق خلفي، باب جانبي، أرضية تحميل، كاميرا خلفية، تتبع GPS,
