قالب إدخال الإعلانات - 05 مركبات متضررة - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > مركبات متضررة,عنوان الإعلان,نص قصير,نعم,,,
المركبات > مركبات متضررة,الوصف,نص طويل,نعم,,,
المركبات > مركبات متضررة,السعر,رقم,نعم,,,
المركبات > مركبات متضررة,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > مركبات متضررة,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > مركبات متضررة,الكيلومترات,رقم,نعم,,,
المركبات > مركبات متضررة,نوع المركبة,قائمة منسدلة,نعم,نوع المركبة,سيارة، SUV / بيك آب، دراجة، فان، شاحنة، مركبة أخرى,
المركبات > مركبات متضررة,حالة التشغيل,قائمة منسدلة,نعم,حالة التشغيل,تعمل، لا تعمل، تحتاج فحص، غير محدد,
المركبات > مركبات متضررة,نوع الضرر,قائمة منسدلة,نعم,نوع الضرر,ضرر أمامي، ضرر خلفي، ضرر جانبي، ضرر سقف، ضرر ميكانيكي، ضرر كهربائي، غرق، حريق، متعدد,
المركبات > مركبات متضررة,درجة الضرر,قائمة منسدلة,نعم,درجة الضرر,خفيف، متوسط، شديد، غير محدد,
المركبات > مركبات متضررة,حالة التسجيل,قائمة منسدلة,نعم,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > مركبات متضررة,حالة الترخيص / الفحص,قائمة منسدلة,لا,حالة الترخيص / الفحص,ساري، منتهي، غير متوفر,
المركبات > مركبات متضررة,مصدر المركبة,قائمة منسدلة,لا,مصدر المركبة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > مركبات متضررة,نوع الوقود,قائمة منسدلة,نعم,نوع الوقود,بنزين، ديزل، كهرباء، هايبرد، غاز، بنزين وغاز,
المركبات > مركبات متضررة,ناقل الحركة,قائمة منسدلة,نعم,ناقل الحركة,أوتوماتيك، عادي، نصف أوتوماتيك,
المركبات > مركبات متضررة,لون المركبة,قائمة منسدلة,نعم,لون المركبة,أبيض، أسود، فضي، رمادي، أحمر، أزرق، كحلي، بيج، بني، أخضر، أصفر، برتقالي، لون آخر,
المركبات > مركبات متضررة,مناسبة لقطع الغيار,قائمة منسدلة,لا,مناسبة لقطع الغيار,نعم، لا,
المركبات > مركبات متضررة,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > مركبات متضررة,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > مركبات متضررة,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
