قالب إدخال الإعلانات - 06 كرفانات - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > كرفانات,عنوان الإعلان,نص قصير,نعم,,,
المركبات > كرفانات,الوصف,نص طويل,نعم,,,
المركبات > كرفانات,السعر,رقم,نعم,,,
المركبات > كرفانات,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > كرفانات,نوع الكرفان,قائمة منسدلة,نعم,نوع الكرفان,كرفان مقطور، كرفان متنقل، كرفان ثابت، بيت متنقل,
المركبات > كرفانات,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > كرفانات,حالة الكرفان,قائمة منسدلة,نعم,حالة الكرفان,جديدة، مستعملة,
المركبات > كرفانات,حالة التسجيل,قائمة منسدلة,لا,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > كرفانات,مصدر الكرفان,قائمة منسدلة,لا,مصدر الكرفان,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > كرفانات,عدد الأسرة,قائمة منسدلة,لا,عدد الأسرة,1، 2، 3، 4، أكثر من 4,
المركبات > كرفانات,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,2، 4، 5، 6، أكثر من 6,
المركبات > كرفانات,مطبخ,قائمة منسدلة,نعم,مطبخ,نعم، لا,
المركبات > كرفانات,حمام,قائمة منسدلة,نعم,حمام,نعم، لا,
المركبات > كرفانات,مكيف / تدفئة,قائمة منسدلة,لا,مكيف / تدفئة,مكيف، تدفئة، مكيف وتدفئة، لا يوجد,
المركبات > كرفانات,خزان مياه,قائمة منسدلة,لا,خزان مياه,نعم، لا,
المركبات > كرفانات,طاقة شمسية,قائمة منسدلة,لا,طاقة شمسية,نعم، لا,
المركبات > كرفانات,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > كرفانات,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > كرفانات,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
المركبات > كرفانات,تجهيزات الكرفان,مجموعة اختيارات,لا,تجهيزات الكرفان,براد، غاز، فرن، تلفزيون، إنترنت، بطارية إضافية، مظلة، مساحة تخزين، دش خارجي,
