قالب إدخال الإعلانات - 07 مركبات بحرية - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > مركبات بحرية,عنوان الإعلان,نص قصير,نعم,,,
المركبات > مركبات بحرية,الوصف,نص طويل,نعم,,,
المركبات > مركبات بحرية,السعر,رقم,نعم,,,
المركبات > مركبات بحرية,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > مركبات بحرية,نوع المركبة البحرية,قائمة منسدلة,نعم,نوع المركبة البحرية,قارب، يخت، جت سكي، زورق، قارب صيد، مركبة بحرية أخرى,
المركبات > مركبات بحرية,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > مركبات بحرية,حالة المركبة,قائمة منسدلة,نعم,حالة المركبة,جديدة، مستعملة,
المركبات > مركبات بحرية,حالة التسجيل,قائمة منسدلة,لا,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > مركبات بحرية,مصدر المركبة,قائمة منسدلة,لا,مصدر المركبة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > مركبات بحرية,الطول,قائمة منسدلة,لا,الطول,أقل من 5 متر، 5 - 10 متر، 10 - 20 متر، أكثر من 20 متر، غير محدد,
المركبات > مركبات بحرية,نوع المحرك,قائمة منسدلة,لا,نوع المحرك,داخلي، خارجي، كهربائي، بدون محرك، غير محدد,
المركبات > مركبات بحرية,قوة المحرك,قائمة منسدلة,لا,قوة المحرك,أقل من 100 حصان، 100 - 150 حصان، 151 - 200 حصان، 201 - 300 حصان، أكثر من 300 حصان، غير محدد,
المركبات > مركبات بحرية,عدد المحركات,قائمة منسدلة,لا,عدد المحركات,1، 2، 3، أكثر من 3,
المركبات > مركبات بحرية,نوع الوقود,قائمة منسدلة,لا,نوع الوقود,بنزين، ديزل، كهرباء، غير محدد,
المركبات > مركبات بحرية,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > مركبات بحرية,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > مركبات بحرية,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
المركبات > مركبات بحرية,ميزات بحرية,مجموعة اختيارات,لا,ميزات بحرية,جهاز GPS، رادار، مظلة، كابينة، معدات صيد، سترات نجاة، مقطورة نقل,
