قالب إدخال الإعلانات - 08 مركبات جوية - عربي - v1,,,,,,
مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
المركبات > مركبات جوية,عنوان الإعلان,نص قصير,نعم,,,
المركبات > مركبات جوية,الوصف,نص طويل,نعم,,,
المركبات > مركبات جوية,السعر,رقم,نعم,,,
المركبات > مركبات جوية,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية,
المركبات > مركبات جوية,نوع المركبة الجوية,قائمة منسدلة,نعم,نوع المركبة الجوية,طائرة خفيفة، هليكوبتر، طائرة شراعية، درون، مركبة جوية أخرى,
المركبات > مركبات جوية,سنة الصنع,قائمة منسدلة,نعم,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000,
المركبات > مركبات جوية,حالة المركبة,قائمة منسدلة,نعم,حالة المركبة,جديدة، مستعملة,
المركبات > مركبات جوية,حالة التسجيل,قائمة منسدلة,لا,حالة التسجيل,مسجلة في سوريا، مسجلة في تركيا، غير مسجلة، إدخال جمركي، لوحة مؤقتة، لوحة أجنبية، قيد التسجيل,
المركبات > مركبات جوية,مصدر المركبة,قائمة منسدلة,لا,مصدر المركبة,محلية، واردة من كوريا، واردة من الخليج، واردة من أوروبا، واردة من أمريكا، غير محدد,
المركبات > مركبات جوية,ساعات التشغيل,رقم,لا,,,
المركبات > مركبات جوية,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,1، 2، 4، 6، أكثر من 6,
المركبات > مركبات جوية,نوع المحرك,قائمة منسدلة,لا,نوع المحرك,بنزين، توربيني، كهربائي، غير محدد,
المركبات > مركبات جوية,حالة الصيانة,قائمة منسدلة,لا,حالة الصيانة,جاهزة، تحتاج فحص، تحتاج صيانة، غير محدد,
المركبات > مركبات جوية,الأوراق والاعتمادات,قائمة منسدلة,لا,الأوراق والاعتمادات,متوفرة، غير متوفرة، قيد التجهيز، غير محدد,
المركبات > مركبات جوية,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، معرض سيارات، وسيط، شركة,
المركبات > مركبات جوية,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا,
المركبات > مركبات جوية,إمكانية الداكيش,قائمة منسدلة,لا,إمكانية الداكيش,نعم، لا,
