مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة
المركبات > تأجير سيارات,عنوان الإعلان,نص قصير,نعم,,
المركبات > تأجير سيارات,الوصف,نص طويل,نعم,,
المركبات > تأجير سيارات,سنة الصنع,قائمة منسدلة,لا,سنة الصنع,2026، 2025، 2024، 2023، 2022، 2021، 2020، 2019، 2018، 2017، 2016، 2015، 2014، 2013، 2012، 2011، 2010، 2009، 2008، 2007، 2006، 2005، 2004، 2003، 2002، 2001، 2000، قبل 2000
المركبات > تأجير سيارات,السعر,رقم,نعم,,
المركبات > تأجير سيارات,العملة,قائمة منسدلة,نعم,العملة,دولار، ليرة سورية، ليرة تركية،
المركبات > تأجير سيارات,نوع التسعير,قائمة منسدلة,نعم,نوع التسعير,بالساعة، يومي، أسبوعي، شهري، طويل الأمد
المركبات > تأجير سيارات,مدة التأجير المتاحة,قائمة متعددة,لا,مدة التأجير المتاحة,يوم واحد، عدة أيام، أسبوع، شهر، طويل الأمد
المركبات > تأجير سيارات,مع سائق,قائمة منسدلة,نعم,مع سائق,بدون سائق، مع سائق، متوفر الخياران
المركبات > تأجير سيارات,ناقل الحركة,قائمة منسدلة,لا,ناقل الحركة,عادي، أوتوماتيك، نصف أوتوماتيك
المركبات > تأجير سيارات,نوع الوقود,قائمة منسدلة,لا,نوع الوقود,بنزين، ديزل، كهرباء، هايبرد، غاز
المركبات > تأجير سيارات,عدد المقاعد,قائمة منسدلة,لا,عدد المقاعد,2، 4، 5، 6، 7، 8، 9، أكثر من 9
المركبات > تأجير سيارات,حالة المركبة,قائمة منسدلة,نعم,حالة المركبة,ممتازة، جيدة جدًا، جيدة، تحتاج صيانة بسيطة
المركبات > تأجير سيارات,التأمين / العربون,قائمة منسدلة,نعم,التأمين / العربون,لا يوجد، يوجد تأمين، حسب الاتفاق
المركبات > تأجير سيارات,حد الكيلومترات,قائمة منسدلة,لا,حد الكيلومترات,بدون حد، حد يومي، حد أسبوعي، حسب الاتفاق
المركبات > تأجير سيارات,إمكانية السفر بين المدن,قائمة منسدلة,لا,إمكانية السفر بين المدن,نعم، لا، حسب الاتفاق
المركبات > تأجير سيارات,طريقة التسليم,قائمة متعددة,لا,طريقة التسليم,استلام من المكتب، تسليم ضمن المدينة، تسليم في المطار، تسليم حسب الاتفاق
المركبات > تأجير سيارات,شروط الاستئجار,قائمة متعددة,لا,شروط الاستئجار,رخصة قيادة سارية، هوية شخصية، جواز سفر، عمر 21+، عمر 25+، حسب الاتفاق
المركبات > تأجير سيارات,ميزات المركبة,مجموعة اختيارات,لا,ميزات المركبة,مكيف، بلوتوث، شاشة، كاميرا خلفية، حساسات، GPS، مقعد أطفال، مساحة أمتعة كبيرة
المركبات > تأجير سيارات,صفة المعلن,قائمة منسدلة,نعم,صفة المعلن,مالك، مكتب تأجير، شركة، وسيط
المركبات > تأجير سيارات,قابل للتفاوض,قائمة منسدلة,نعم,قابل للتفاوض,نعم، لا
