رقم,الإجراء المطلوب,المسار الأب,اسم القسم الجديد المطلوب إضافته,
1,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب,Geely,
2,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب,Tesla,
3,إضافة قسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة,Chevrolet,
4,إضافة قسم,المركبات > سيارات > Audi,200,
5,إضافة قسم,المركبات > سيارات > Audi,90,
6,إضافة قسم,المركبات > سيارات > BMW,M Series,
7,إضافة قسم,المركبات > سيارات > BMW,Z Series,
8,إضافة قسم,المركبات > سيارات > BYD,Qin Plus,
9,إضافة قسم,المركبات > سيارات > BYD,Seagull,
10,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > BYD,Song Plus,
11,إضافة قسم,المركبات > سيارات > Cadillac,ATS,
12,إضافة قسم,المركبات > سيارات > Cadillac,CT4,
13,إضافة قسم,المركبات > سيارات > Cadillac,CT5,
14,إضافة قسم,المركبات > سيارات > Cadillac,XTS,
15,إضافة قسم,المركبات > سيارات > Chery,Arrizo 5,
16,إضافة قسم,المركبات > سيارات > Chery,Arrizo 6,
17,إضافة قسم,المركبات > سيارات > Chery,Arrizo 8,
18,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chery,Tiggo 2,
19,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Chery,Tiggo 4,
20,إضافة قسم,المركبات > سيارات > Chevrolet,Cobalt,
21,إضافة قسم,المركبات > سيارات > Chevrolet,Malibu,
22,إضافة قسم,المركبات > سيارات > Chevrolet,Nubira,
23,إضافة قسم,المركبات > سيارات > Chevrolet,Optra,
24,إضافة قسم,المركبات > سيارات > Chevrolet,Sail,
25,إضافة قسم,المركبات > سيارات > Chevrolet,Sonic,
26,إضافة قسم,المركبات > سيارات > Dacia,Spring,
27,إضافة قسم,المركبات > سيارات > Dodge,Caliber,
28,إضافة قسم,المركبات > سيارات > Dodge,Dart,
29,إضافة قسم,المركبات > سيارات > Dodge,Neon,
30,إضافة قسم,المركبات > سيارات > Dodge,Viper,
31,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Coolray,
32,إضافة قسم,المركبات > سيارات > Geely,Geometry C,
33,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Monjaro,
34,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Okavango,
35,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Geely,Tugella,
36,إضافة قسم,المركبات > سيارات > Honda,Insight,
37,إضافة قسم,المركبات > سيارات > Hyundai,Azera,
38,إضافة قسم,المركبات > سيارات > Hyundai,Ioniq 6,
39,إضافة قسم,المركبات > سيارات > Hyundai,Lantra,
40,إضافة قسم,المركبات > سيارات > Hyundai,Veloster,
41,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Infiniti,EX,
42,إضافة قسم,المركبات > سيارات > Infiniti,Q60,
43,إضافة قسم,المركبات > سيارات > Infiniti,Q70,
44,إضافة قسم,المركبات > سيارات > Kia,Forte,
45,إضافة قسم,المركبات > سيارات > Kia,K5,
46,إضافة قسم,المركبات > سيارات > Kia,K8,
47,إضافة قسم,المركبات > سيارات > Kia,K9,
48,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Lexus,GX,
49,إضافة قسم,المركبات > سيارات > Lexus,LC,
50,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > Lexus,UX,
51,إضافة قسم,المركبات > سيارات > MG,MG5,
52,إضافة قسم,المركبات > سيارات > MG,MG6,
53,إضافة قسم,المركبات > سيارات دفع رباعي وبيك آب > MG,RX5,
54,إضافة قسم,المركبات > سيارات > MINI,Cabrio,
55,إضافة قسم,المركبات > سيارات > Nissan,Leaf,
56,إضافة قسم,المركبات > سيارات > Nissan,Sentra,
57,إضافة قسم,المركبات > سيارات > Nissan,Sylphy,
58,إضافة قسم,المركبات > سيارات > Nissan,Teana,
59,إضافة قسم,المركبات > سيارات > Nissan,Versa,
