رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,الاسم الصحيح الجديد
1,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 100,100,H-100
2,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 350,350,H350
3,تعديل الاسم,المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > porter ii,porter ii,Porter II
4,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > e- transit,e- transit,E-Transit
5,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > p 100,p 100,P100
6,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > ranger,ranger,Ranger
7,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > transit,transit,Transit
8,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > سلسلة F,سلسلة F,F-Series
9,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > شاحنات,شاحنات,Other Ford Trucks
10,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > d,d,D Series
11,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > k,k,K Series
12,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > kerax,kerax,Kerax
13,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > mascott,mascott,Mascott
14,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > master,master,Master
15,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > midlum,midlum,Midlum
16,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > premium,premium,Premium
17,تعديل الاسم,المركبات > سيارات > Kia > Ceed > 1.5 هايبرد,1.5 هايبرد,1.5 Hybrid
18,تعديل الاسم,المركبات > سيارات > Kia > Ceed > 1.6 هايبرد,1.6 هايبرد,1.6 Hybrid
19,تعديل الاسم,المركبات > سيارات > Kia > Picanto > 1.0 MPI فيل,1.0 MPI فيل,1.0 MPI Feel
20,تعديل الاسم,المركبات > سيارات > Kia > Picanto > 1.0 MPI كول,1.0 MPI كول,1.0 MPI Cool
21,تعديل الاسم,المركبات > سيارات > Kia > Picanto > 1.0 MPI لايف,1.0 MPI لايف,1.0 MPI Live
22,تعديل الاسم,المركبات > سيارات > Kia > Rio > 1.2,1.2,1.2 MPI
23,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 5 > 520d جران توريزمو,520d جران توريزمو,520d Gran Turismo
24,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 5 > 530xd جران توريزمو,530xd جران توريزمو,530xd Gran Turismo
25,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > 1 زائد,1 زائد,OnePlus
26,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آبل,آبل,Apple
27,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آسوس أسترا,آسوس أسترا,Asus
28,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أمازون,أمازون,Amazon
29,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوري,أوري,Auri
30,تعديل الاسم,سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوليفون,أوليفون,Ulefone
