رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,
1,حذف القسم,العقارات > عقار تجاري > تنازل عن عقد الإيجار > وكيل ألعاب حظ,وكيل ألعاب حظ,
2,حذف القسم,العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > وكيل ألعاب حظ,وكيل ألعاب حظ,
3,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > مجموعات مدمجة,مجموعات مدمجة,
4,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > آلات فراغ,آلات فراغ,
5,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > جارباجي ديسبوسالس,جارباجي ديسبوسالس,
6,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > عصارات,عصارات,
7,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الخبز,ماكينات الخبز,
8,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مجفف الطعام,مجفف الطعام,
9,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > ستائر هوائية,ستائر هوائية,
10,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخان لوحة المسخن,سخان لوحة المسخن,
11,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخانات الزيت المبرد,سخانات الزيت المبرد,
12,حذف القسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > ملفات المروحة,ملفات المروحة,
13,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > إكسسوارات > موسي بونجي,موسي بونجي,
14,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > قارئات البطاقات,قارئات البطاقات,
15,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > كابليس & كونفيرتيرس,كابليس & كونفيرتيرس,
16,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > مفاتيح KVM,مفاتيح KVM,
17,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > يو بي إس,يو بي إس,
18,حذف القسم,سلع مستعملة وجديدة > كمبيوتر > نطاقات واستضافة وبرمجيات > دوماينس,دوماينس,
19,حذف القسم,العقارات > سكن > عقار للبيع مع نقل النشاط,عقار للبيع مع نقل النشاط,
20,حذف القسم,المركبات > المركبات الكهربائية > مركبات ATV كهربائية,مركبات ATV كهربائية,
21,حذف القسم,المركبات > المركبات الكهربائية > مركبات UTV كهربائية,مركبات UTV كهربائية,
22,حذف القسم,المركبات > تأجير سيارات > طائرات,طائرات,
