رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,المسار النهائي المطلوب
1,نقل القسم,المركبات > 323ti,323ti,المركبات > سيارات > BMW > 3 Series > 323ti
2,نقل القسم,المركبات > 325td,325td,المركبات > سيارات > BMW > 3 Series > 325td
3,نقل القسم,المركبات > 325ti,325ti,المركبات > سيارات > BMW > 3 Series > 325ti
4,نقل القسم,المركبات > 340d xDrive,340d xDrive,المركبات > سيارات > BMW > 3 Series > 340d xDrive
5,نقل القسم,المركبات > 524td,524td,المركبات > سيارات > BMW > 5 Series > 524td
6,نقل القسم,المركبات > 550i xDrive,550i xDrive,المركبات > سيارات > BMW > 5 Series > 550i xDrive
7,نقل القسم,المركبات > دراجات نارية > 125 R,125 R,المركبات > دراجات نارية > Voge > 125 R
8,نقل القسم,المركبات > دراجات نارية > 250 GY,250 GY,المركبات > دراجات نارية > Voge > 250 GY
9,نقل القسم,المركبات > دراجات نارية > 250 RR,250 RR,المركبات > دراجات نارية > Voge > 250 RR
10,نقل القسم,المركبات > دراجات نارية > 250 Rally,250 Rally,المركبات > دراجات نارية > Voge > 250 Rally
11,نقل القسم,المركبات > دراجات نارية > 300 DS,300 DS,المركبات > دراجات نارية > Voge > 300 DS
12,نقل القسم,المركبات > دراجات نارية > 300 GY,300 GY,المركبات > دراجات نارية > Voge > 300 GY
13,نقل القسم,المركبات > دراجات نارية > 300 R,300 R,المركبات > دراجات نارية > Voge > 300 R
14,نقل القسم,المركبات > دراجات نارية > 300 Rally,300 Rally,المركبات > دراجات نارية > Voge > 300 Rally
15,نقل القسم,المركبات > دراجات نارية > 500 AC,500 AC,المركبات > دراجات نارية > Voge > 500 AC
16,نقل القسم,المركبات > دراجات نارية > 500 DS,500 DS,المركبات > دراجات نارية > Voge > 500 DS
17,نقل القسم,المركبات > دراجات نارية > 500 DSX,500 DSX,المركبات > دراجات نارية > Voge > 500 DSX
18,نقل القسم,المركبات > دراجات نارية > 500 R,500 R,المركبات > دراجات نارية > Voge > 500 R
19,نقل القسم,المركبات > دراجات نارية > 525 ACX,525 ACX,المركبات > دراجات نارية > Voge > 525 ACX
20,نقل القسم,المركبات > دراجات نارية > 525 DSX,525 DSX,المركبات > دراجات نارية > Voge > 525 DSX
21,نقل القسم,المركبات > دراجات نارية > 525 R,525 R,المركبات > دراجات نارية > Voge > 525 R
22,نقل القسم,المركبات > دراجات نارية > 525 RR,525 RR,المركبات > دراجات نارية > Voge > 525 RR
23,نقل القسم,المركبات > دراجات نارية > 625 DSX,625 DSX,المركبات > دراجات نارية > Voge > 625 DSX
24,نقل القسم,المركبات > دراجات نارية > 650 DSX,650 DSX,المركبات > دراجات نارية > Voge > 650 DSX
25,نقل القسم,المركبات > دراجات نارية > 900 DSX,900 DSX,المركبات > دراجات نارية > Voge > 900 DSX
26,نقل القسم,المركبات > دراجات نارية > SR1,SR1,المركبات > دراجات نارية > Voge > SR1
27,نقل القسم,المركبات > دراجات نارية > SR1 ADV,SR1 ADV,المركبات > دراجات نارية > Voge > SR1 ADV
28,نقل القسم,المركبات > دراجات نارية > SR3,SR3,المركبات > دراجات نارية > Voge > SR3
29,نقل القسم,المركبات > دراجات نارية > SR4 Maxi 350,SR4 Maxi 350,المركبات > دراجات نارية > Voge > SR4 Maxi 350
30,نقل القسم,المركبات > سيارات > Tesla > Model X,Model X,المركبات > سيارات دفع رباعي وبيك آب > Tesla > Model X
31,نقل القسم,المركبات > سيارات > Tesla > Model Y,Model Y,المركبات > سيارات دفع رباعي وبيك آب > Tesla > Model Y
