مسار الإعلان,اسم الحقل,نوع الحقل,إلزامي,اسم القائمة,الخيارات المقترحة,
الوظائف,عنوان الإعلان,نص قصير,نعم,,,
الوظائف,الوصف,نص طويل,نعم,,,
الوظائف,نوع الإعلان,قائمة متعددة,نعم,نوع الإعلان,فرصة عمل، طلب عمل,
الوظائف,نوع الدوام,قائمة منسدلة,نعم,نوع الدوام,دوام كامل، دوام جزئي، مؤقت، تدريب، عمل حر / فريلانسر,
الوظائف,نظام العمل,قائمة منسدلة,نعم,نظام العمل,من مقر العمل، ميداني، عن بعد,
الوظائف,الراتب / الأجر المتوقع,نص قصير,لا,,,
الوظائف,العملة,قائمة منسدلة,لا,العملة,دولار، ليرة سورية، ليرة تركية,
الوظائف,فترة الراتب,قائمة منسدلة,لا,فترة الراتب,شهري، يومي، بالساعة، بالعمولة، لكل مشروع، حسب الاتفاق,
الوظائف,الخبرة,قائمة منسدلة,نعم,الخبرة,بدون خبرة، أقل من سنة، سنة - 3 سنوات، 3 - 5 سنوات، أكثر من 5 سنوات,
الوظائف,المؤهل العلمي,قائمة منسدلة,لا,المؤهل العلمي,غير مطلوب، ابتدائي، إعدادي، ثانوي، معهد، جامعة، دراسات عليا,
الوظائف,اللغات,قائمة متعددة,لا,اللغات,العربية، التركية، الإنجليزية، الكردية، أخرى,
الوظائف,المزايا الإضافية,قائمة متعددة,لا,المزايا الإضافية,وجبة طعام، مواصلات، سكن، تأمين، عمولات، مكافآت، لا يوجد، حسب الاتفاق,
الوظائف,اسم الشركة / جهة العمل,نص قصير,لا,,,
