الأمر,المسار الحالي / القديم,الاسم الحالي,المطلوب,الملاحظة,
حذف القسم,سلع جديدة ومستعملة > مقتنيات,مقتنيات,حذف القسم,القسم ما زال ظاهرًا رغم وجود أمر حذف,
حذف القسم,سلع جديدة ومستعملة > مجوهرات وأحجار كريمة,مجوهرات وأحجار كريمة,حذف القسم,القسم ما زال ظاهرًا رغم وجود أمر حذف,
حذف القسم,سلع جديدة ومستعملة > موسيقى,موسيقى,حذف القسم,القسم ما زال ظاهرًا رغم وجود أمر حذف,
حذف القسم,سلع جديدة ومستعملة > رياضة > ألعاب القوى,ألعاب القوى,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > دراجات,دراجات,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > كمال أجسام,كمال أجسام,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > معدات لياقة,معدات لياقة,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > ألعاب داخلية,ألعاب داخلية,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > فنون قتالية,فنون قتالية,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > بيلاتس ويوغا وجمباز,بيلاتس ويوغا وجمباز,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > رياضات المضرب,رياضات المضرب,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > رياضات جماعية,رياضات جماعية,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,سلع جديدة ومستعملة > رياضة > بيع بالجملة,بيع بالجملة,حذف النسخ المكررة وترك نسخة واحدة,القسم ظاهر أكثر من مرة داخل نفس المسار,
حذف القسم,المركبات > سيارات > Joice,Joice,حذف القسم,القسم ما زال ظاهرًا في جذر سيارات رغم وجود أمر حذف للقسم جويس,
