row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
1,"المركبات > سيارات دفع رباعي وبيك آب",Geely,would_add,"Would create «Geely» under parent id 32704",-27295,Geely,Geely,Off-Road-SUV-Pickup-Trucks-geely,32704,1
2,"المركبات > سيارات دفع رباعي وبيك آب",Tesla,skipped_exists,"Subcategory already exists under parent (id 44720)",44720,Tesla,Tesla,Off-Road-SUV-Pickup-Trucks-tesla,32704,1
3,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة",Chevrolet,would_add,"Would create «Chevrolet» under parent id 38078",-27296,Chevrolet,Chevrolet,trucks-light-trucks-chevrolet,38078,1
4,"المركبات > سيارات > Audi",200,would_add,"Would create «200» under parent id 20346",-27297,200,200,audi-200,20346,1
5,"المركبات > سيارات > Audi",90,would_add,"Would create «90» under parent id 20346",-27298,90,90,audi-90,20346,1
6,"المركبات > سيارات > BMW","M Series",would_add,"Would create «M Series» under parent id 20794",-27299,"M Series","M Series",bmw-m-series,20794,1
7,"المركبات > سيارات > BMW","Z Series",would_add,"Would create «Z Series» under parent id 20794",-27300,"Z Series","Z Series",bmw-z-series,20794,1
8,"المركبات > سيارات > BYD","Qin Plus",would_add,"Would create «Qin Plus» under parent id 21403",-27301,"Qin Plus","Qin Plus",byd-qin-plus,21403,1
9,"المركبات > سيارات > BYD",Seagull,would_add,"Would create «Seagull» under parent id 21403",-27302,Seagull,Seagull,byd-seagull,21403,1
10,"المركبات > سيارات دفع رباعي وبيك آب > BYD","Song Plus",would_add,"Would create «Song Plus» under parent id 33984",-27303,"Song Plus","Song Plus",byd-Off-Road-SUV-Pickup-Trucks-song-plus,33984,1
11,"المركبات > سيارات > Cadillac",ATS,would_add,"Would create «ATS» under parent id 21409",-27304,ATS,ATS,cadillac-ats,21409,1
12,"المركبات > سيارات > Cadillac",CT4,would_add,"Would create «CT4» under parent id 21409",-27305,CT4,CT4,cadillac-ct4,21409,1
13,"المركبات > سيارات > Cadillac",CT5,would_add,"Would create «CT5» under parent id 21409",-27306,CT5,CT5,cadillac-ct5,21409,1
14,"المركبات > سيارات > Cadillac",XTS,would_add,"Would create «XTS» under parent id 21409",-27307,XTS,XTS,cadillac-xts,21409,1
15,"المركبات > سيارات > Chery","Arrizo 5",would_add,"Would create «Arrizo 5» under parent id 21421",-27308,"Arrizo 5","Arrizo 5",chery-arrizo-5,21421,1
16,"المركبات > سيارات > Chery","Arrizo 6",would_add,"Would create «Arrizo 6» under parent id 21421",-27309,"Arrizo 6","Arrizo 6",chery-arrizo-6,21421,1
17,"المركبات > سيارات > Chery","Arrizo 8",would_add,"Would create «Arrizo 8» under parent id 21421",-27310,"Arrizo 8","Arrizo 8",chery-arrizo-8,21421,1
18,"المركبات > سيارات دفع رباعي وبيك آب > Chery","Tiggo 2",would_add,"Would create «Tiggo 2» under parent id 33986",-27311,"Tiggo 2","Tiggo 2",chery-Off-Road-SUV-Pickup-Trucks-tiggo-2,33986,1
19,"المركبات > سيارات دفع رباعي وبيك آب > Chery","Tiggo 4",would_add,"Would create «Tiggo 4» under parent id 33986",-27312,"Tiggo 4","Tiggo 4",chery-Off-Road-SUV-Pickup-Trucks-tiggo-4,33986,1
20,"المركبات > سيارات > Chevrolet",Cobalt,would_add,"Would create «Cobalt» under parent id 21426",-27313,Cobalt,Cobalt,chevrolet-cobalt,21426,1
21,"المركبات > سيارات > Chevrolet",Malibu,would_add,"Would create «Malibu» under parent id 21426",-27314,Malibu,Malibu,chevrolet-malibu,21426,1
22,"المركبات > سيارات > Chevrolet",Nubira,would_add,"Would create «Nubira» under parent id 21426",-27315,Nubira,Nubira,chevrolet-nubira,21426,1
23,"المركبات > سيارات > Chevrolet",Optra,would_add,"Would create «Optra» under parent id 21426",-27316,Optra,Optra,chevrolet-optra,21426,1
24,"المركبات > سيارات > Chevrolet",Sail,would_add,"Would create «Sail» under parent id 21426",-27317,Sail,Sail,chevrolet-sail,21426,1
25,"المركبات > سيارات > Chevrolet",Sonic,would_add,"Would create «Sonic» under parent id 21426",-27318,Sonic,Sonic,chevrolet-sonic,21426,1
26,"المركبات > سيارات > Dacia",Spring,would_add,"Would create «Spring» under parent id 21527",-27319,Spring,Spring,dacia-spring,21527,1
27,"المركبات > سيارات > Dodge",Caliber,would_add,"Would create «Caliber» under parent id 21551",-27320,Caliber,Caliber,dodge-caliber,21551,1
28,"المركبات > سيارات > Dodge",Dart,would_add,"Would create «Dart» under parent id 21551",-27321,Dart,Dart,dodge-dart,21551,1
29,"المركبات > سيارات > Dodge",Neon,would_add,"Would create «Neon» under parent id 21551",-27322,Neon,Neon,dodge-neon,21551,1
