row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
1,"المركبات > سيارات دفع رباعي وبيك آب",Geely,added,"Created subcategory id 44721",44721,Geely,Geely,Off-Road-SUV-Pickup-Trucks-geely,32704,1
2,"المركبات > سيارات دفع رباعي وبيك آب",Tesla,skipped_exists,"Subcategory already exists under parent (id 44720)",44720,Tesla,Tesla,Off-Road-SUV-Pickup-Trucks-tesla,32704,1
3,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة",Chevrolet,added,"Created subcategory id 44722",44722,Chevrolet,Chevrolet,trucks-light-trucks-chevrolet,38078,1
4,"المركبات > سيارات > Audi",200,added,"Created subcategory id 44723",44723,200,200,audi-200,20346,1
5,"المركبات > سيارات > Audi",90,added,"Created subcategory id 44724",44724,90,90,audi-90,20346,1
6,"المركبات > سيارات > BMW","M Series",added,"Created subcategory id 44725",44725,"M Series","M Series",bmw-m-series,20794,1
7,"المركبات > سيارات > BMW","Z Series",added,"Created subcategory id 44726",44726,"Z Series","Z Series",bmw-z-series,20794,1
8,"المركبات > سيارات > BYD","Qin Plus",added,"Created subcategory id 44727",44727,"Qin Plus","Qin Plus",byd-qin-plus,21403,1
9,"المركبات > سيارات > BYD",Seagull,added,"Created subcategory id 44728",44728,Seagull,Seagull,byd-seagull,21403,1
10,"المركبات > سيارات دفع رباعي وبيك آب > BYD","Song Plus",added,"Created subcategory id 44729",44729,"Song Plus","Song Plus",byd-Off-Road-SUV-Pickup-Trucks-song-plus,33984,1
11,"المركبات > سيارات > Cadillac",ATS,added,"Created subcategory id 44730",44730,ATS,ATS,cadillac-ats,21409,1
12,"المركبات > سيارات > Cadillac",CT4,added,"Created subcategory id 44731",44731,CT4,CT4,cadillac-ct4,21409,1
13,"المركبات > سيارات > Cadillac",CT5,added,"Created subcategory id 44732",44732,CT5,CT5,cadillac-ct5,21409,1
14,"المركبات > سيارات > Cadillac",XTS,added,"Created subcategory id 44733",44733,XTS,XTS,cadillac-xts,21409,1
15,"المركبات > سيارات > Chery","Arrizo 5",added,"Created subcategory id 44734",44734,"Arrizo 5","Arrizo 5",chery-arrizo-5,21421,1
16,"المركبات > سيارات > Chery","Arrizo 6",added,"Created subcategory id 44735",44735,"Arrizo 6","Arrizo 6",chery-arrizo-6,21421,1
17,"المركبات > سيارات > Chery","Arrizo 8",added,"Created subcategory id 44736",44736,"Arrizo 8","Arrizo 8",chery-arrizo-8,21421,1
18,"المركبات > سيارات دفع رباعي وبيك آب > Chery","Tiggo 2",added,"Created subcategory id 44737",44737,"Tiggo 2","Tiggo 2",chery-Off-Road-SUV-Pickup-Trucks-tiggo-2,33986,1
19,"المركبات > سيارات دفع رباعي وبيك آب > Chery","Tiggo 4",added,"Created subcategory id 44738",44738,"Tiggo 4","Tiggo 4",chery-Off-Road-SUV-Pickup-Trucks-tiggo-4,33986,1
20,"المركبات > سيارات > Chevrolet",Cobalt,added,"Created subcategory id 44739",44739,Cobalt,Cobalt,chevrolet-cobalt,21426,1
21,"المركبات > سيارات > Chevrolet",Malibu,added,"Created subcategory id 44740",44740,Malibu,Malibu,chevrolet-malibu,21426,1
22,"المركبات > سيارات > Chevrolet",Nubira,added,"Created subcategory id 44741",44741,Nubira,Nubira,chevrolet-nubira,21426,1
23,"المركبات > سيارات > Chevrolet",Optra,added,"Created subcategory id 44742",44742,Optra,Optra,chevrolet-optra,21426,1
24,"المركبات > سيارات > Chevrolet",Sail,added,"Created subcategory id 44743",44743,Sail,Sail,chevrolet-sail,21426,1
25,"المركبات > سيارات > Chevrolet",Sonic,added,"Created subcategory id 44744",44744,Sonic,Sonic,chevrolet-sonic,21426,1
26,"المركبات > سيارات > Dacia",Spring,added,"Created subcategory id 44745",44745,Spring,Spring,dacia-spring,21527,1
27,"المركبات > سيارات > Dodge",Caliber,added,"Created subcategory id 44746",44746,Caliber,Caliber,dodge-caliber,21551,1
28,"المركبات > سيارات > Dodge",Dart,added,"Created subcategory id 44747",44747,Dart,Dart,dodge-dart,21551,1
29,"المركبات > سيارات > Dodge",Neon,added,"Created subcategory id 44748",44748,Neon,Neon,dodge-neon,21551,1
30,"المركبات > سيارات > Dodge",Viper,added,"Created subcategory id 44749",44749,Viper,Viper,dodge-viper,21551,1
31,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Coolray,added,"Created subcategory id 44750",44750,Coolray,Coolray,Off-Road-SUV-Pickup-Trucks-geely-coolray,44721,1
32,"المركبات > سيارات > Geely","Geometry C",added,"Created subcategory id 44751",44751,"Geometry C","Geometry C",geely-geometry-c,21633,1
33,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Monjaro,added,"Created subcategory id 44752",44752,Monjaro,Monjaro,Off-Road-SUV-Pickup-Trucks-geely-monjaro,44721,1
34,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Okavango,added,"Created subcategory id 44753",44753,Okavango,Okavango,Off-Road-SUV-Pickup-Trucks-geely-okavango,44721,1
35,"المركبات > سيارات دفع رباعي وبيك آب > Geely",Tugella,added,"Created subcategory id 44754",44754,Tugella,Tugella,Off-Road-SUV-Pickup-Trucks-geely-tugella,44721,1
36,"المركبات > سيارات > Honda",Insight,added,"Created subcategory id 44755",44755,Insight,Insight,honda-insight,21638,1
37,"المركبات > سيارات > Hyundai",Azera,added,"Created subcategory id 44756",44756,Azera,Azera,hyundai-azera,21769,1
38,"المركبات > سيارات > Hyundai","Ioniq 6",added,"Created subcategory id 44757",44757,"Ioniq 6","Ioniq 6",hyundai-ioniq-6,21769,1
39,"المركبات > سيارات > Hyundai",Lantra,added,"Created subcategory id 44758",44758,Lantra,Lantra,hyundai-lantra,21769,1
40,"المركبات > سيارات > Hyundai",Veloster,added,"Created subcategory id 44759",44759,Veloster,Veloster,hyundai-veloster,21769,1
41,"المركبات > سيارات دفع رباعي وبيك آب > Infiniti",EX,added,"Created subcategory id 44760",44760,EX,EX,infiniti-Off-Road-SUV-Pickup-Trucks-ex,34009,1
42,"المركبات > سيارات > Infiniti",Q60,added,"Created subcategory id 44761",44761,Q60,Q60,infiniti-q60,21913,1
43,"المركبات > سيارات > Infiniti",Q70,added,"Created subcategory id 44762",44762,Q70,Q70,infiniti-q70,21913,1
44,"المركبات > سيارات > Kia",Forte,added,"Created subcategory id 44763",44763,Forte,Forte,kia-forte,21939,1
45,"المركبات > سيارات > Kia",K5,added,"Created subcategory id 44764",44764,K5,K5,kia-k5,21939,1
46,"المركبات > سيارات > Kia",K8,added,"Created subcategory id 44765",44765,K8,K8,kia-k8,21939,1
47,"المركبات > سيارات > Kia",K9,added,"Created subcategory id 44766",44766,K9,K9,kia-k9,21939,1
48,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",GX,added,"Created subcategory id 44767",44767,GX,GX,lexus-Off-Road-SUV-Pickup-Trucks-gx,34019,1
49,"المركبات > سيارات > Lexus",LC,added,"Created subcategory id 44768",44768,LC,LC,lexus-lc,22104,1
50,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",UX,added,"Created subcategory id 44769",44769,UX,UX,lexus-Off-Road-SUV-Pickup-Trucks-ux,34019,1
51,"المركبات > سيارات > MG",MG5,added,"Created subcategory id 44770",44770,MG5,MG5,mg-mg5,22711,1
