row_num,csv_path,csv_name,status,message,subcategory_id,db_name_ar,slug,nodes_deleted,ads_count
1,"العقارات > عقار تجاري > تنازل عن عقد الإيجار > وكيل ألعاب حظ","وكيل ألعاب حظ",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",44548,"وكيل ألعاب حظ",lottery-dealer,1,0
2,"العقارات > عقار تجاري > للبيع مع التنازل عن النشاط > وكيل ألعاب حظ","وكيل ألعاب حظ",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",44612,"وكيل ألعاب حظ",lottery-dealer-business-transfer-sale,1,0
3,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > مجموعات مدمجة","مجموعات مدمجة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26191,"مجموعات مدمجة",built-in-sets-2,1,0
4,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > آلات فراغ","آلات فراغ",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26264,"آلات فراغ",vacuum-machines-2,1,0
5,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > جارباجي ديسبوسالس","جارباجي ديسبوسالس",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26244,"جارباجي ديسبوسالس",garbage-disposals-2,1,0
6,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > عصارات",عصارات,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26250,عصارات,juicers-2,1,0
7,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الخبز","ماكينات الخبز",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26230,"ماكينات الخبز",bread-machines-2,1,0
8,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مجفف الطعام","مجفف الطعام",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26242,"مجفف الطعام",food-dehydrator-2,1,0
9,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > ستائر هوائية","ستائر هوائية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26224,"ستائر هوائية",air-curtains-2,1,0
10,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخان لوحة المسخن","سخان لوحة المسخن",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26218,"سخان لوحة المسخن",convector-panel-heater-2,1,0
11,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخانات الزيت المبرد","سخانات الزيت المبرد",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26220,"سخانات الزيت المبرد",oil-radiator-heaters-2,1,0
12,"سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > ملفات المروحة","ملفات المروحة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26225,"ملفات المروحة",fan-coils-2,1,0
13,"سلع مستعملة وجديدة > كمبيوتر > إكسسوارات > موسي بونجي","موسي بونجي",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25815,"موسي بونجي",mouse-bungee-2,1,0
14,"سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > قارئات البطاقات","قارئات البطاقات",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26063,"قارئات البطاقات",card-readers-2,1,0
15,"سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > كابليس & كونفيرتيرس","كابليس & كونفيرتيرس",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26057,"كابليس & كونفيرتيرس",cables-converters-2,1,0
16,"سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > مفاتيح KVM","مفاتيح KVM",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26066,"مفاتيح KVM",kvm-switches-2,1,0
17,"سلع مستعملة وجديدة > كمبيوتر > ملحقات الكمبيوتر > يو بي إس","يو بي إس",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",26064,"يو بي إس",ups-2,1,0
18,"سلع مستعملة وجديدة > كمبيوتر > نطاقات واستضافة وبرمجيات > دوماينس",دوماينس,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25925,دوماينس,domains-2,1,0
19,"العقارات > سكن > عقار للبيع مع نقل النشاط","عقار للبيع مع نقل النشاط",deleted,"Soft-deleted 3 node(s), 0 linked ad(s)",44358,"عقار للبيع مع نقل النشاط",property-for-sale-with-business-transfer,3,0
20,"المركبات > المركبات الكهربائية > مركبات ATV كهربائية","مركبات ATV كهربائية",deleted,"Soft-deleted 15 node(s), 0 linked ad(s)",33137,"مركبات ATV كهربائية",electric-atv,15,0
21,"المركبات > المركبات الكهربائية > مركبات UTV كهربائية","مركبات UTV كهربائية",deleted,"Soft-deleted 5 node(s), 0 linked ad(s)",33139,"مركبات UTV كهربائية",electric-utv,5,0
22,"المركبات > تأجير سيارات > طائرات",طائرات,deleted,"Soft-deleted 3 node(s), 0 linked ad(s)",37458,طائرات,aircraft,3,0
23,"المركبات > دراجات ATV رباعية > واواساكي",واواساكي,deleted,"Soft-deleted 2 node(s), 0 linked ad(s)",43060,واواساكي,wawasaky-ATV,2,0
24,"المركبات > سيارات > جويس",جويس,not_found,"No subcategory matches current name under candidate categories",,,,0,0
25,"سلع مستعملة وجديدة > أنتيكات > الكتب والمواد المطبوعة","الكتب والمواد المطبوعة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25189,"الكتب والمواد المطبوعة",books-printed-materials-2,1,0
26,"سلع مستعملة وجديدة > أنتيكات > ماريتيمي",ماريتيمي,deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",25191,ماريتيمي,maritime-2,1,0
27,"سلع مستعملة وجديدة > رياضة > رياضات خطرة","رياضات خطرة",deleted,"Soft-deleted 17 node(s), 0 linked ad(s)",28930,"رياضات خطرة",extreme-sports,17,0
27,"سلع مستعملة وجديدة > رياضة > رياضات خطرة","رياضات خطرة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28946,"رياضات خطرة",extreme-sports-2,1,0
27,"سلع مستعملة وجديدة > رياضة > رياضات خطرة","رياضات خطرة",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28962,"رياضات خطرة",extreme-sports-3,1,0
28,"سلع مستعملة وجديدة > رياضة > رياضات شتوية","رياضات شتوية",deleted,"Soft-deleted 29 node(s), 0 linked ad(s)",28941,"رياضات شتوية",winter-sports,29,0
28,"سلع مستعملة وجديدة > رياضة > رياضات شتوية","رياضات شتوية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28957,"رياضات شتوية",winter-sports-2,1,0
28,"سلع مستعملة وجديدة > رياضة > رياضات شتوية","رياضات شتوية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28973,"رياضات شتوية",winter-sports-3,1,0
29,"سلع مستعملة وجديدة > رياضة > رياضات طبيعية","رياضات طبيعية",deleted,"Soft-deleted 76 node(s), 0 linked ad(s)",28935,"رياضات طبيعية",nature-sports,76,0
29,"سلع مستعملة وجديدة > رياضة > رياضات طبيعية","رياضات طبيعية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28951,"رياضات طبيعية",nature-sports-2,1,0
29,"سلع مستعملة وجديدة > رياضة > رياضات طبيعية","رياضات طبيعية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28967,"رياضات طبيعية",nature-sports-3,1,0
30,"سلع مستعملة وجديدة > رياضة > رياضات مائية","رياضات مائية",deleted,"Soft-deleted 47 node(s), 0 linked ad(s)",28940,"رياضات مائية",water-sports,47,0
30,"سلع مستعملة وجديدة > رياضة > رياضات مائية","رياضات مائية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28956,"رياضات مائية",water-sports-2,1,0
30,"سلع مستعملة وجديدة > رياضة > رياضات مائية","رياضات مائية",deleted,"Soft-deleted 1 node(s), 0 linked ad(s)",28972,"رياضات مائية",water-sports-3,1,0
