row_num,csv_current_path,csv_name,csv_target_path,status,message,subcategory_id,db_name_ar,slug,old_parent_id,new_parent_id,target_subcategory_id,ads_count
1,"المركبات > 323ti",323ti,"المركبات > سيارات > BMW > 3 Series > 323ti",would_move,"Would move to parent id 20924 in category 1",23890,323ti,bmw-3-serisi-323ti,,20924,,1
2,"المركبات > 325td",325td,"المركبات > سيارات > BMW > 3 Series > 325td",would_move,"Would move to parent id 20924 in category 1",23891,325td,bmw-3-serisi-325td,,20924,,0
3,"المركبات > 325ti",325ti,"المركبات > سيارات > BMW > 3 Series > 325ti",would_move,"Would move to parent id 20924 in category 1",23892,325ti,bmw-3-serisi-325ti,,20924,,0
4,"المركبات > 340d xDrive","340d xDrive","المركبات > سيارات > BMW > 3 Series > 340d xDrive",would_move,"Would move to parent id 20924 in category 1",23893,"340d xDrive",bmw-3-serisi-340d-xdrive,,20924,,0
5,"المركبات > 524td",524td,"المركبات > سيارات > BMW > 5 Series > 524td",would_move,"Would move to parent id 21168 in category 1",23894,524td,bmw-5-serisi-524td,,21168,,0
6,"المركبات > 550i xDrive","550i xDrive","المركبات > سيارات > BMW > 5 Series > 550i xDrive",would_move,"Would move to parent id 21168 in category 1",23895,"550i xDrive",bmw-5-serisi-550i-xdrive,,21168,,0
7,"المركبات > دراجات نارية > 125 R","125 R","المركبات > دراجات نارية > Voge > 125 R",would_remove_duplicate,"Would remove duplicate id 32779; keep id 32802",32779,"125 R",125-r-Motorcycl,30293,30445,32802,0
8,"المركبات > دراجات نارية > 250 GY","250 GY","المركبات > دراجات نارية > Voge > 250 GY",would_remove_duplicate,"Would remove duplicate id 32780; keep id 32803",32780,"250 GY",250-gy,30293,30445,32803,0
9,"المركبات > دراجات نارية > 250 RR","250 RR","المركبات > دراجات نارية > Voge > 250 RR",would_remove_duplicate,"Would remove duplicate id 32782; keep id 32805",32782,"250 RR",250-rr-Motorcycl,30293,30445,32805,0
10,"المركبات > دراجات نارية > 250 Rally","250 Rally","المركبات > دراجات نارية > Voge > 250 Rally",would_remove_duplicate,"Would remove duplicate id 32781; keep id 32804",32781,"250 Rally",250-rally,30293,30445,32804,0
11,"المركبات > دراجات نارية > 300 DS","300 DS","المركبات > دراجات نارية > Voge > 300 DS",would_remove_duplicate,"Would remove duplicate id 32783; keep id 32806",32783,"300 DS",300-ds,30293,30445,32806,0
12,"المركبات > دراجات نارية > 300 GY","300 GY","المركبات > دراجات نارية > Voge > 300 GY",would_remove_duplicate,"Would remove duplicate id 32784; keep id 32807",32784,"300 GY",300-gy,30293,30445,32807,0
13,"المركبات > دراجات نارية > 300 R","300 R","المركبات > دراجات نارية > Voge > 300 R",would_remove_duplicate,"Would remove duplicate id 32785; keep id 32808",32785,"300 R",300-r,30293,30445,32808,0
14,"المركبات > دراجات نارية > 300 Rally","300 Rally","المركبات > دراجات نارية > Voge > 300 Rally",would_remove_duplicate,"Would remove duplicate id 32786; keep id 32809",32786,"300 Rally",300-rally,30293,30445,32809,0
15,"المركبات > دراجات نارية > 500 AC","500 AC","المركبات > دراجات نارية > Voge > 500 AC",would_remove_duplicate,"Would remove duplicate id 32787; keep id 32810",32787,"500 AC",500-ac,30293,30445,32810,0
