line,status,message,path,current,new,entity_type,entity_id,old_name_ar
2,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 100",100,H-100,subcategory,39045,H-100
3,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 350",350,H350,subcategory,39046,H350
4,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > porter ii","porter ii","Porter II",,,
5,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > e- transit","e- transit",E-Transit,subcategory,39023,E-Transit
6,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > p 100","p 100",P100,subcategory,39025,P100
7,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > ranger",ranger,Ranger,,,
8,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > transit",transit,Transit,,,
9,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > سلسلة F","سلسلة F",F-Series,subcategory,39024,F-Series
10,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > شاحنات",شاحنات,"Other Ford Trucks",subcategory,39028,"Other Ford Trucks"
11,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > d",d,"D Series",subcategory,39445,"D Series"
12,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > k",k,"K Series",subcategory,39446,"K Series"
13,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > kerax",kerax,Kerax,,,
14,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > mascott",mascott,Mascott,,,
15,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > master",master,Master,,,
16,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > midlum",midlum,Midlum,,,
17,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > premium",premium,Premium,,,
18,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Ceed > 1.5 هايبرد","1.5 هايبرد","1.5 Hybrid",subcategory,21956,"1.5 Hybrid"
19,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Ceed > 1.6 هايبرد","1.6 هايبرد","1.6 Hybrid",subcategory,21990,"1.6 Hybrid"
20,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Picanto > 1.0 MPI فيل","1.0 MPI فيل","1.0 MPI Feel",subcategory,22038,"1.0 MPI Feel"
21,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Picanto > 1.0 MPI كول","1.0 MPI كول","1.0 MPI Cool",subcategory,22037,"1.0 MPI Cool"
22,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Picanto > 1.0 MPI لايف","1.0 MPI لايف","1.0 MPI Live",subcategory,22039,"1.0 MPI Live"
23,skipped_same,"Already has target name_ar","المركبات > سيارات > Kia > Rio > 1.2",1.2,"1.2 MPI",subcategory,22051,"1.2 MPI"
24,not_found,"Subcategory not found at segment: بي إم دبليو","المركبات > سيارات > بي إم دبليو > الفئة 5 > 520d جران توريزمو","520d جران توريزمو","520d Gran Turismo",,,
25,not_found,"Subcategory not found at segment: بي إم دبليو","المركبات > سيارات > بي إم دبليو > الفئة 5 > 530xd جران توريزمو","530xd جران توريزمو","530xd Gran Turismo",,,
26,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > 1 زائد","1 زائد",OnePlus,subcategory,26153,OnePlus
27,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آبل",آبل,Apple,subcategory,26115,Apple
28,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > آسوس أسترا","آسوس أسترا",Asus,subcategory,26117,Asus
29,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أمازون",أمازون,Amazon,subcategory,26114,Amazon
30,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوري",أوري,Auri,subcategory,26118,Auri
31,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أوليفون",أوليفون,Ulefone,subcategory,26171,Ulefone
32,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أووكيتيل",أووكيتيل,Oukitel,subcategory,26155,Oukitel
33,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أيسر",أيسر,Acer,subcategory,26111,Acer
34,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > أينول",أينول,Ainol,subcategory,26112,Ainol
35,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إزكول",إزكول,Ezcool,subcategory,26129,Ezcool
36,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إكسبير",إكسبير,Exper,subcategory,26128,Exper
37,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > إل جي","إل جي",LG,subcategory,26143,LG
38,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > الكاتيل فيستينج","الكاتيل فيستينج",Alcatel,subcategory,26113,Alcatel
39,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > اوندا",اوندا,Onda,subcategory,26152,Onda
40,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > اونيو",اونيو,Onyo,subcategory,26154,Onyo
41,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > ايفرست",ايفرست,Everest,subcategory,26127,Everest
42,skipped_same,"Already has target name_ar","سلع مستعملة وجديدة > كمبيوتر > أجهزة لوحية > موديلات > باناسونيك",باناسونيك,Panasonic,subcategory,26156,Panasonic
