line,status,message,path,current,new,entity_type,entity_id,old_name_ar
2,updated,"Updated subcategory","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 100",100,H-100,subcategory,39045,100
3,updated,"Updated subcategory","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > 350",350,H350,subcategory,39046,350
4,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai > h > porter ii","porter ii","Porter II",,,
5,updated,"Updated subcategory","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > e- transit","e- transit",E-Transit,subcategory,39023,"e- transit"
6,updated,"Updated subcategory","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > p 100","p 100",P100,subcategory,39025,"p 100"
7,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > ranger",ranger,Ranger,,,
8,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > transit",transit,Transit,,,
9,not_found,"Subcategory not found at segment: سلسلة F","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > سلسلة F","سلسلة F",F-Series,,,
10,not_found,"Subcategory not found at segment: شاحنات","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Ford > شاحنات",شاحنات,"Other Ford Trucks",,,
11,name_mismatch,"DB name_ar does not match current name (id 39445)","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > d",d,"D Series",,,
12,name_mismatch,"DB name_ar does not match current name (id 39446)","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > k",k,"K Series",,,
13,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > kerax",kerax,Kerax,,,
14,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > mascott",mascott,Mascott,,,
15,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > master",master,Master,,,
16,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > midlum",midlum,Midlum,,,
17,skipped_same,"Already has target name_ar","المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > Renault > premium",premium,Premium,,,
